ID,date,underlying,S,K,T,r,sigma,option_type,style,asset_class
1,2026-01-26,AAPL,219.69,199.02,0.524,0.045,0.264,call,EURO,Equity
2,2026-01-26,AAPL,219.69,199.02,0.524,0.045,0.264,put,EURO,Equity
3,2026-01-26,AAPL,218.64,239.98,0.99,0.045,0.266,call,EURO,Equity
4,2026-01-26,AAPL,218.64,239.98,0.99,0.045,0.266,put,EURO,Equity
5,2026-01-26,TSLA,259.13,308.79,0.344,0.045,0.467,call,EURO,Equity
6,2026-01-26,TSLA,259.13,308.79,0.344,0.045,0.467,put,EURO,Equity
7,2026-01-26,TSLA,250.17,237.92,0.273,0.045,0.434,call,EURO,Equity
8,2026-01-26,TSLA,250.17,237.92,0.273,0.045,0.434,put,EURO,Equity
9,2026-01-26,NVDA,129.54,126.3,1.474,0.045,0.427,call,EURO,Equity
10,2026-01-26,NVDA,129.54,126.3,1.474,0.045,0.427,put,EURO,Equity
11,2026-01-26,MSFT,427.59,416.28,1.944,0.045,0.216,call,EURO,Equity
12,2026-01-26,MSFT,427.59,416.28,1.944,0.045,0.216,put,EURO,Equity
13,2026-01-26,TSLA,242.49,263.79,0.615,0.045,0.451,call,EURO,Equity
14,2026-01-26,TSLA,242.49,263.79,0.615,0.045,0.451,put,EURO,Equity
15,2026-01-26,MSFT,396.49,368.04,1.452,0.045,0.222,call,EURO,Equity
16,2026-01-26,MSFT,396.49,368.04,1.452,0.045,0.222,put,EURO,Equity
17,2026-01-26,AAPL,224.25,197.53,0.365,0.045,0.234,call,EURO,Equity
18,2026-01-26,AAPL,224.25,197.53,0.365,0.045,0.234,put,EURO,Equity
19,2026-01-26,TSLA,262.28,224.03,0.303,0.045,0.486,call,EURO,Equity
20,2026-01-26,TSLA,262.28,224.03,0.303,0.045,0.486,put,EURO,Equity
21,2026-01-26,AAPL,222.12,264.13,0.31,0.045,0.262,call,EURO,Equity
22,2026-01-26,AAPL,222.12,264.13,0.31,0.045,0.262,put,EURO,Equity
23,2026-01-26,MSFT,415.13,354.9,0.544,0.045,0.242,call,EURO,Equity
24,2026-01-26,MSFT,415.13,354.9,0.544,0.045,0.242,put,EURO,Equity
25,2026-01-26,TSLA,260.77,298.78,1.976,0.045,0.452,call,EURO,Equity
26,2026-01-26,TSLA,260.77,298.78,1.976,0.045,0.452,put,EURO,Equity
27,2026-01-26,NVDA,127.46,140.73,1.995,0.045,0.375,call,EURO,Equity
28,2026-01-26,NVDA,127.46,140.73,1.995,0.045,0.375,put,EURO,Equity
29,2026-01-26,MSFT,415.03,460.94,0.109,0.045,0.242,call,EURO,Equity
30,2026-01-26,MSFT,415.03,460.94,0.109,0.045,0.242,put,EURO,Equity
31,2026-01-26,GOOGL,187.74,157.15,0.25,0.045,0.265,call,EURO,Equity
32,2026-01-26,GOOGL,187.74,157.15,0.25,0.045,0.265,put,EURO,Equity
33,2026-01-26,MSFT,408.0,375.73,1.648,0.045,0.24,call,EURO,Equity
34,2026-01-26,MSFT,408.0,375.73,1.648,0.045,0.24,put,EURO,Equity
35,2026-01-26,MSFT,396.13,352.63,1.507,0.045,0.206,call,EURO,Equity
36,2026-01-26,MSFT,396.13,352.63,1.507,0.045,0.206,put,EURO,Equity
37,2026-01-26,AAPL,218.6,206.44,0.163,0.045,0.272,call,EURO,Equity
38,2026-01-26,AAPL,218.6,206.44,0.163,0.045,0.272,put,EURO,Equity
39,2026-01-26,GOOGL,182.7,192.85,1.857,0.045,0.258,call,EURO,Equity
40,2026-01-26,GOOGL,182.7,192.85,1.857,0.045,0.258,put,EURO,Equity
41,2026-01-26,NVDA,128.63,129.33,1.31,0.045,0.4,call,EURO,Equity
42,2026-01-26,NVDA,128.63,129.33,1.31,0.045,0.4,put,EURO,Equity
43,2026-01-26,NVDA,126.84,139.22,1.192,0.045,0.438,call,EURO,Equity
44,2026-01-26,NVDA,126.84,139.22,1.192,0.045,0.438,put,EURO,Equity
45,2026-01-26,TSLA,254.25,280.86,0.571,0.045,0.482,call,EURO,Equity
46,2026-01-26,TSLA,254.25,280.86,0.571,0.045,0.482,put,EURO,Equity
47,2026-01-26,TSLA,237.95,268.81,0.468,0.045,0.482,call,EURO,Equity
48,2026-01-26,TSLA,237.95,268.81,0.468,0.045,0.482,put,EURO,Equity
49,2026-01-26,AAPL,230.88,258.04,0.993,0.045,0.231,call,EURO,Equity
50,2026-01-26,AAPL,230.88,258.04,0.993,0.045,0.231,put,EURO,Equity
